Array Size,S Value,Runtime (s),Comparisons
500000,19,1.5017408599998816,9612181.4
500000,20,1.4914917199997944,9612181.4
500000,21,1.4705993400000807,9612181.4
500000,22,1.4801790400000754,9612181.4
500000,23,1.4501212600000144,9612181.4
500000,24,1.4454372399999555,9612181.4
500000,25,1.448735300000044,9612181.4
500000,26,1.466065499999786,9612181.4
500000,27,1.4715950199997678,9612181.4
500000,28,1.4788519000001543,9612181.4
500000,29,1.5088537600000564,9612181.4
500000,30,1.5133368199998585,10300093.0
1000000,1,3.9318041399999855,18674254.4
1000000,2,3.5429447000000436,18674254.4
1000000,3,3.5435860600000524,18674250.4
1000000,4,3.3072491599996283,18727649.2
1000000,5,3.313205659999949,18727649.2
1000000,6,3.4528088999997637,18727649.2
1000000,7,3.331467859999975,18820930.2
1000000,8,3.258743980000145,19072377.0
1000000,9,3.2730135800000424,19072377.0
1000000,10,3.297041419999914,19072377.0
1000000,11,3.2485274599999685,19072377.0
1000000,12,3.211424420000003,19072377.0
1000000,13,3.255421920000117,19072377.0
1000000,14,3.2344217599998957,19072377.0
1000000,15,3.2524837799999657,19885730.6
1000000,16,3.449547220000022,20221646.8
1000000,17,3.3948140800001054,20221646.8
1000000,18,3.407013159999951,20221646.8
1000000,19,3.282244940000055,20221646.8
1000000,20,3.2850343999998586,20221646.8
1000000,21,3.337250099999983,20221646.8
1000000,22,3.3824056199999175,20221646.8
1000000,23,3.4460921799998685,20221646.8
1000000,24,3.371107999999913,20221646.8
1000000,25,3.3250758600001062,20221646.8
1000000,26,3.3006211800000527,20221646.8
1000000,27,3.2926149000000806,20221646.8
1000000,28,3.302666339999996,20221646.8
1000000,29,3.2789873600000647,20221646.8
1000000,30,3.3846806799998377,21596338.6
