Array Size,Seed,S Value,Runtime (s),Comparisons
1000,45,11,0.001440099999854283,9082
1000,45,12,0.0012891999995190417,9082
1000,45,13,0.0012255999999979394,9082
1000,45,14,0.0012054999997417326,9082
1000,45,15,0.0014896999991833582,9448
1000,45,16,0.001257199999599834,10137
1000,45,17,0.0012565000006361515,10137
1000,45,18,0.0012417999996614526,10137
1000,45,19,0.0011965000003328896,10137
1000,45,20,0.0013801999994029757,10137
1000,45,21,0.0012870000000475557,10137
1000,45,22,0.0011933999994653277,10137
1000,45,23,0.0011904000002687098,10137
1000,45,24,0.0013519000003725523,10137
1000,45,25,0.0014863000005789218,10137
1000,45,26,0.0013554999995903927,10137
1000,45,27,0.001224799999363313,10137
1000,45,28,0.0012071000001014909,10137
1000,45,29,0.001442200000383309,10137
1000,45,30,0.001350800000182062,10137
1000,46,1,0.001984499999707623,8697
1000,46,2,0.0016005999996195897,8697
1000,46,3,0.0019865999993271544,8695
1000,46,4,0.0014375999999174383,8774
1000,46,5,0.0012940000005983165,8774
1000,46,6,0.0012904000004709815,8774
1000,46,7,0.0017308000005868962,8853
1000,46,8,0.0013263999999253429,9173
1000,46,9,0.0012124000004405389,9173
1000,46,10,0.0012290000004213653,9173
1000,46,11,0.0014512000007016468,9173
1000,46,12,0.0013203999997131177,9173
1000,46,13,0.001467199999751756,9173
1000,46,14,0.0013216999996075174,9173
1000,46,15,0.0013795999993817532,9575
1000,46,16,0.0016129000005093985,10295
1000,46,17,0.0012667000000874395,10295
1000,46,18,0.0012250999998286716,10295
1000,46,19,0.0012212000001454726,10295
1000,46,20,0.0012996999994356884,10295
1000,46,21,0.0012819000003219116,10295
1000,46,22,0.0012094000003344263,10295
1000,46,23,0.0012130999994042213,10295
1000,46,24,0.0012295000005906331,10295
1000,46,25,0.0014000000001033186,10295
1000,46,26,0.001255499999388121,10295
1000,46,27,0.001292500000090513,10295
1000,46,28,0.0013828000001012697,10295
1000,46,29,0.001352000000224507,10295
1000,46,30,0.0013914999999542488,10295
5000,42,1,0.012088499999663327,55263
5000,42,2,0.010846799999853829,55263
5000,42,3,0.009578399999554676,55245
5000,42,4,0.008938199999647622,55271
5000,42,5,0.008482300000650866,55836
5000,42,6,0.008659000000079686,55836
5000,42,7,0.009281900000132737,55836
5000,42,8,0.010246100000586011,55836
5000,42,9,0.009402399999999034,56344
5000,42,10,0.00833039999997709,58718
5000,42,11,0.007868400000006659,58718
5000,42,12,0.008268600000519655,58718
5000,42,13,0.008377900000596128,58718
5000,42,14,0.008364999999685097,58718
5000,42,15,0.008597199999712757,58718
5000,42,16,0.008786000000327476,58718
5000,42,17,0.007997300000170071,58718
5000,42,18,0.008374500000172702,58718
5000,42,19,0.008074800000031246,62341
5000,42,20,0.008127699999931792,66724
5000,42,21,0.009218600000167498,66724
5000,42,22,0.008615800000370655,66724
5000,42,23,0.009405100000549282,66724
5000,42,24,0.008515099999385711,66724
5000,42,25,0.008646899999803281,66724
5000,42,26,0.00861330000043381,66724
5000,42,27,0.008036999999603722,66724
5000,42,28,0.009008799999719486,66724
5000,42,29,0.008326199999828532,66724
5000,42,30,0.008481199999550881,66724
5000,43,1,0.011529000000336964,55247
5000,43,2,0.009747199999765144,55247
5000,43,3,0.00942289999966306,55248
5000,43,4,0.008806699999695411,55277
5000,43,5,0.009194700000080047,55775
5000,43,6,0.008700099999259692,55775
5000,43,7,0.008425699999861536,55775
5000,43,8,0.008116099999824655,55775
5000,43,9,0.008145799999510928,56270
5000,43,10,0.008119799999803945,58605
5000,43,11,0.007911099999546423,58605
5000,43,12,0.007937399999718764,58605
5000,43,13,0.008127899999635702,58605
5000,43,14,0.007965299999341369,58605
5000,43,15,0.007880500000283064,58605
5000,43,16,0.008262300000751566,58605
5000,43,17,0.007950100000016391,58605
5000,43,18,0.0080604000004314,58605
5000,43,19,0.008871500000168453,61992
5000,43,20,0.00875369999994291,66779
5000,43,21,0.008444199999757984,66779
5000,43,22,0.008535699999811186,66779
5000,43,23,0.008239200000389246,66779
5000,43,24,0.008995400000458176,66779
5000,43,25,0.008416399999987334,66779
5000,43,26,0.008533299999726296,66779
5000,43,27,0.008823600000141596,66779
5000,43,28,0.008611299999756739,66779
5000,43,29,0.008766900000409805,66779
5000,43,30,0.008520299999872805,66779
5000,44,1,0.013007599999582453,55287
5000,44,2,0.009985699999560893,55287
5000,44,3,0.009149599999545899,55272
5000,44,4,0.009201800000482763,55295
5000,44,5,0.008320699999785575,55810
5000,44,6,0.008223800000450865,55810
5000,44,7,0.008769500000198605,55810
5000,44,8,0.010146999999960826,55810
5000,44,9,0.008194000000003143,56299
5000,44,10,0.008227899999837973,58505
5000,44,11,0.008366299999579496,58505
5000,44,12,0.008352599999852828,58505
5000,44,13,0.008163899999999558,58505
5000,44,14,0.007814099999450264,58505
5000,44,15,0.008281000000351924,58505
5000,44,16,0.007926499999484804,58505
5000,44,17,0.00844390000020212,58505
5000,44,18,0.00908889999936946,58505
5000,44,19,0.011711099999956787,62113
5000,44,20,0.009572100000696082,66673
5000,44,21,0.008960099999967497,66673
5000,44,22,0.009184900000036578,66673
5000,44,23,0.009493499999734922,66673
5000,44,24,0.008433300000433519,66673
5000,44,25,0.008605600000009872,66673
5000,44,26,0.00862680000045657,66673
5000,44,27,0.009079800000108662,66673
5000,44,28,0.008075400000052468,66673
5000,44,29,0.008545900000171969,66673
5000,44,30,0.009022100000038336,66673
5000,45,1,0.01341469999988476,55259
5000,45,2,0.010882300000048417,55259
5000,45,3,0.009766799999852083,55272
5000,45,4,0.009317499999269785,55296
5000,45,5,0.008703200000127254,55754
5000,45,6,0.0082685000006677,55754
5000,45,7,0.008311599999615282,55754
5000,45,8,0.00852519999989454,55754
5000,45,9,0.008018800000172632,56195
5000,45,10,0.007737799999631534,58375
5000,45,11,0.008381999999983236,58375
5000,45,12,0.007800999999744818,58375
5000,45,13,0.007993100000021514,58375
5000,45,14,0.010273200000483484,58375
5000,45,15,0.007887400000072375,58375
5000,45,16,0.0082711000004565,58375
5000,45,17,0.0079541999994035,58375
5000,45,18,0.008057900000494556,58375
5000,45,19,0.008341400000063004,61961
5000,45,20,0.009135500000411412,66769
5000,45,21,0.008322399999997288,66769
5000,45,22,0.008324499999616819,66769
5000,45,23,0.00816209999993589,66769
5000,45,24,0.009240399999725923,66769
5000,45,25,0.008522000000084518,66769
5000,45,26,0.009248000000297907,66769
5000,45,27,0.009040899999490648,66769
5000,45,28,0.008605199999692559,66769
5000,45,29,0.008792900000116788,66769
5000,45,30,0.009383500000694767,66769
5000,46,1,0.0118518999997832,55224
5000,46,2,0.009859900000265043,55224
5000,46,3,0.009324999999989814,55238
5000,46,4,0.009810900000047695,55266
5000,46,5,0.008659699999952863,55730
5000,46,6,0.008201699999517587,55730
5000,46,7,0.008995000000140863,55730
5000,46,8,0.0083639000004041,55730
5000,46,9,0.008399199999985285,56260
5000,46,10,0.007921499999611115,58552
5000,46,11,0.007851299999856565,58552
5000,46,12,0.007810899999640242,58552
5000,46,13,0.008309400000143796,58552
5000,46,14,0.007802500000252621,58552
5000,46,15,0.008057799999733106,58552
5000,46,16,0.008500599999933911,58552
5000,46,17,0.007819800000106625,58552
5000,46,18,0.008199200000490237,58552
5000,46,19,0.008089399999335,62006
5000,46,20,0.008638000000246393,66462
5000,46,21,0.008845800000017334,66462
5000,46,22,0.0086555000007138,66462
5000,46,23,0.008975499999905878,66462
5000,46,24,0.008549300000595395,66462
5000,46,25,0.008150599999680708,66462
5000,46,26,0.008645799999612791,66462
5000,46,27,0.008524100000613544,66462
5000,46,28,0.009547799999381823,66462
5000,46,29,0.008353100000022096,66462
5000,46,30,0.008736499999940861,66462
10000,42,1,0.02524569999968662,120519
10000,42,2,0.02123059999939869,120519
10000,42,3,0.020714999999654538,120527
10000,42,4,0.020385100000567036,120592
10000,42,5,0.018633699999554665,121530
10000,42,6,0.018365300000368734,121530
10000,42,7,0.018396999999822583,121530
10000,42,8,0.018066800000269723,121530
10000,42,9,0.01811210000050778,122652
10000,42,10,0.017141599999376922,127086
10000,42,11,0.01972569999998086,127086
10000,42,12,0.01777380000021367,127086
10000,42,13,0.017671299999165058,127086
10000,42,14,0.01819549999981973,127086
10000,42,15,0.020805099999961385,127086
10000,42,16,0.022483599999759463,127086
10000,42,17,0.019344399999681627,127086
10000,42,18,0.022642699999778415,127086
10000,42,19,0.024729199999455886,134390
10000,42,20,0.018649999999979627,143537
10000,42,21,0.018437799999446725,143537
10000,42,22,0.019128200000523066,143537
10000,42,23,0.019129099999190657,143537
10000,42,24,0.020202400000016496,143537
10000,42,25,0.019215999999687483,143537
10000,42,26,0.01862780000010389,143537
10000,42,27,0.01987840000037977,143537
10000,42,28,0.020499500000369153,143537
10000,42,29,0.018382000000201515,143537
10000,42,30,0.018740800000159652,143537
10000,43,1,0.026512200000070152,120568
10000,43,2,0.022514999999657448,120568
10000,43,3,0.021107499999743595,120595
10000,43,4,0.020295700000133365,120637
10000,43,5,0.01816069999949832,121781
10000,43,6,0.019403700000111712,121781
10000,43,7,0.02295140000023821,121781
10000,43,8,0.021842600000127277,121781
10000,43,9,0.01889160000064294,122777
10000,43,10,0.018748499999674095,127436
10000,43,11,0.01770539999961329,127436
10000,43,12,0.017494499999884283,127436
10000,43,13,0.017375000000356522,127436
10000,43,14,0.01820300000053976,127436
10000,43,15,0.019018900000446592,127436
10000,43,16,0.01794990000053076,127436
10000,43,17,0.018077800000355637,127436
10000,43,18,0.019604399999479938,127436
10000,43,19,0.019247299999733514,134450
10000,43,20,0.023622100000466162,144006
10000,43,21,0.02438550000078976,144006
10000,43,22,0.022747800000615825,144006
10000,43,23,0.02476900000056048,144006
10000,43,24,0.019970599999396654,144006
10000,43,25,0.02003450000029261,144006
10000,43,26,0.020431999999345862,144006
10000,43,27,0.021420900000521215,144006
10000,43,28,0.01861269999972137,144006
10000,43,29,0.01938519999930577,144006
10000,43,30,0.019079499999861582,144006
10000,44,1,0.024632499999825086,120404
10000,44,2,0.025139800000033574,120404
10000,44,3,0.02443459999994957,120403
10000,44,4,0.02478999999948428,120443
10000,44,5,0.022840399999950023,121397
10000,44,6,0.018571299999166513,121397
10000,44,7,0.01831510000010894,121397
10000,44,8,0.019788900000094145,121397
10000,44,9,0.01890370000000985,122376
10000,44,10,0.0180103999991843,126714
10000,44,11,0.018146500000511878,126714
10000,44,12,0.017894300000079966,126714
10000,44,13,0.018015700000432844,126714
10000,44,14,0.018383700000413228,126714
10000,44,15,0.019695399999363872,126714
10000,44,16,0.01742180000019289,126714
10000,44,17,0.01912330000050133,126714
10000,44,18,0.01765490000070713,126714
10000,44,19,0.017975099999603117,133854
10000,44,20,0.018969799999467796,143299
10000,44,21,0.01878020000003744,143299
10000,44,22,0.02033610000034969,143299
10000,44,23,0.019269500000518747,143299
10000,44,24,0.019993800000520423,143299
10000,44,25,0.018744400000286987,143299
10000,44,26,0.019925799999327864,143299
10000,44,27,0.019456999999420077,143299
10000,44,28,0.019509499999912805,143299
10000,44,29,0.0197440000001734,143299
10000,44,30,0.018584000000373635,143299
10000,45,1,0.027238199999374046,120510
10000,45,2,0.021764799999800744,120510
10000,45,3,0.022538299999723677,120522
10000,45,4,0.022090299999945273,120571
10000,45,5,0.01994349999949918,121490
10000,45,6,0.01913330000024871,121490
10000,45,7,0.01831560000027821,121490
10000,45,8,0.01967289999993227,121490
10000,45,9,0.018076399999699788,122517
10000,45,10,0.017012500000419095,127092
10000,45,11,0.01765720000003057,127092
10000,45,12,0.018567900000562076,127092
10000,45,13,0.01776519999930315,127092
10000,45,14,0.01995459999943705,127092
10000,45,15,0.017653900000368594,127092
10000,45,16,0.017200500000399188,127092
10000,45,17,0.017216000000189524,127092
10000,45,18,0.017511100000774604,127092
10000,45,19,0.017700000000331784,134323
10000,45,20,0.018360799999754818,143814
10000,45,21,0.018664900000658236,143814
10000,45,22,0.018162399999710033,143814
10000,45,23,0.019209999999475258,143814
10000,45,24,0.01829360000010638,143814
10000,45,25,0.019218600000385777,143814
10000,45,26,0.0178410000007716,143814
10000,45,27,0.018315999999686028,143814
10000,45,28,0.020451800000046205,143814
10000,45,29,0.018875300000217976,143814
10000,45,30,0.01844749999963824,143814
10000,46,1,0.025025400000231457,120493
10000,46,2,0.021680500000002212,120493
10000,46,3,0.022095700000136276,120438
10000,46,4,0.020609599999261263,120493
10000,46,5,0.01877890000014304,121521
10000,46,6,0.01952679999976681,121521
10000,46,7,0.019789699999819277,121521
